ID,Species,Source,Sex,Site,Lat,Lon,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
126,merianae,hunted,female,A,NA,NA,11/8/2008,NA,0.7,30,19,17.5,12,5.5,8.5,NA,NA,NA,NA,57,0.395,NA,0.3,5.34
130,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2.55,40.5,56.5,31,16.8,8,12.5,NA,NA,NA,NA,43,93.605,NA,2.09,135.68
131,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2.25,38.5,39.5,29,16,7.5,12,NA,NA,NA,NA,35,101.54,NA,2.4225,111.05
139,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.6,35.5,63,23,15.5,6.5,11,NA,NA,NA,NA,97,3.335,NA,0.575,88.15
140,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.1,33.5,56.5,20.5,12.5,6,9.5,NA,NA,NA,NA,74,1.33,NA,0.4825,6.1
143,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.8,37.5,63,26,15,6.5,11.5,NA,NA,NA,NA,128,5.285,NA,0.6625,116.28
145,merianae,hunted,female,A,NA,NA,11/8/2008,NA,1.7,38,54,24.5,15,7,11.5,NA,NA,NA,NA,118,1.82,NA,0.5325,69.61
148,merianae,hunted,female,A,NA,NA,11/8/2008,NA,2.1,39,26.5,28,17,7.5,12,NA,NA,NA,NA,115,8.52,NA,0.8375,165.62
149,merianae,hunted,female,A,NA,NA,11/21/2008,Gravid,2.8,43,52,34,15,8,12,NA,NA,NA,NA,46,NA,768.17,NA,64.26
151,rufescens,hunted,female,A,NA,NA,11/21/2008,NA,0.95,33.5,14,21,13,6,9.5,NA,NA,NA,NA,53,4.9,NA,0.93,34.83
155,merianae,hunted,female,A,NA,NA,11/21/2008,NA,1.5,38,65,23,14,7.5,11,NA,NA,NA,NA,86,1.8,NA,0.415,51.83
157,rufescens,hunted,female,A,NA,NA,11/21/2008,NA,1.1,34,57,19,14,6,10,NA,1.78,2.3,2.955,NA,NA,NA,NA,2.48
163,merianae,hunted,female,A,NA,NA,11/21/2008,NA,2.2,40,49,28.5,15.5,7.5,11.5,NA,NA,NA,NA,38,186.195,NA,2.805,48.16
164,merianae,hunted,female,A,NA,NA,11/21/2008,Gravid,2.3,40,57.5,31,16,8,11.5,NA,NA,NA,NA,35,NA,384.87,NA,24.65
165,merianae,hunted,female,A,NA,NA,11/21/2008,NA,2.4,41,69.5,32,16,8,12,NA,NA,NA,NA,44,165.92,NA,2.5,120.83
167,merianae,hunted,female,A,NA,NA,11/21/2008,NA,1.8,39,30,27.5,14.5,7.5,11,NA,NA,NA,NA,38,101.945,NA,2.295,31.13
168,merianae,hunted,female,A,NA,NA,11/21/2008,NA,2.65,43,50,32,18,8.5,13,NA,NA,NA,NA,47,45.05,NA,1.5275,106.33
170,merianae,hunted,female,A,NA,NA,11/21/2008,NA,2.5,42,51,34,16,8,12,NA,NA,NA,NA,47,236.585,NA,2.835,42.8
173,merianae,hunted,female,A,NA,NA,11/29/2008,Gravid,2.55,41.5,44,35.4,15,7.5,11,NA,NA,NA,NA,42,NA,755.99,NA,62.83
174,merianae,hunted,female,A,NA,NA,11/29/2008,Gravid,2.6,42,66,35,15.5,7.5,12,NA,NA,NA,NA,42,NA,732.04,NA,81.44
175,merianae,hunted,female,A,NA,NA,11/29/2008,NA,1.45,39,62,24.5,14.5,7,10,NA,NA,NA,NA,NA,1.315,NA,NA,9.05
180,merianae,hunted,female,A,NA,NA,11/29/2008,NA,1.7,38,40,25.5,14.5,8,12,NA,NA,NA,NA,NA,NA,NA,NA,34.26
183,merianae,hunted,female,A,NA,NA,11/29/2008,NA,1.9,37.5,47,31,15,7,12,NA,NA,NA,NA,35,165.9,NA,2.83,36.53
185,merianae,hunted,female,A,NA,NA,11/29/2008,NA,1.7,41,48.5,26,15,8,11.5,NA,NA,NA,NA,NA,1.67,NA,NA,13.13
188,merianae,hunted,female,A,NA,NA,11/29/2008,NA,1.5,35.5,38,27.5,14.5,7,11,NA,NA,NA,NA,29,81.97,NA,2.2225,23.4
