"month","year","UF.Animal.ID","Status","Capture.Date","Capture.Location","Trap.Name","Capture.Notes","UTM.Easting","UTM.Northing","Specimen.Condition","Intake.SVL","Intake.TL","Intake.Weight.kg","Measurements","Intake.Sex","General.Notes","Euth.Date","Final.Disposition","Nec.SVL","Nec.TL","Nec.Weight.kg","fat.g","Malformations","Extremities","Extremities.Notes","Reproductive.Sys","Nec.Sex","GI.Wt","Additional.Notes","Date.Diff","Analysis.Sex","month.numb","day","mass.g","percfat","fulton","OID.","SVL.Diff","Weight.Diff","sizeclass","NEAR.FID","C110111.DIST","C110424.DIST","JDC.DIST","Pond.DIST","UP.DIST","WCS.DIST","Hab1","Hab2","Hab.Name1","Hab.Name2","HabCat","Habitat","SVL_Diff","Weight_Diff","julian","lsvl","ltl","lmass","d1","d2","d3","d4","d5","y14","y15","y16","y17","y18","y19","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","Period","Avg.Temp.F","Min.Temp.F","Max.Temp.F","Rain.in","Rain.Max.15.in","Avg.Temp.C","Min.Temp.C","Max.Temp.C","Rain.cm","Rain.Max.15.cm"
"May",2017,"TuMe2010","captured;UF trap line",2017-05-25,"JD2",575,NA,552228,2806469,"Live",24.2,68.7,0.47,"Dead","Male",NA,2017-05-25,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",5,25,470,NA,3.31628433906594,710,NA,NA,"Group2",1,7690.584633,1231.56161,167.9672587,280.4942067,1768.807791,4979.050713,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,145,3.18635263316264,4.2297491992283,6.1527326947041,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2011","captured;UF trap line",2017-05-25,"DFO4",572,NA,549372,2806546,"Live",25.2,72.6,0.51,"Dead","Male",NA,2017-05-25,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",5,25,510,NA,3.18690086263782,268,NA,NA,"Group2",1,7826.623346,1626.069187,2848.469765,2595.314239,4621.164572,5187.160399,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,145,3.22684399451738,4.28496492183075,6.23441072571837,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2014","captured;UF trap line",2017-05-26,"TH14",459,NA,549985,2806520,"Live",19.5,55.6,0.26,"Dead","Male",NA,2017-05-26,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",5,26,260,NA,3.50646504492658,269,NA,NA,"Group1",1,7699.494139,1013.059722,2235.654043,1981.950807,4008.527036,4998.390941,5,6," Marshes","Glades Marsh","Marshes","2",NA,NA,146,2.9704144655697,4.01818320125654,5.56068163101553,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2015","captured;UF trap line",2017-05-26,"P1",580,NA,551992,2806293,"Live",39.5,101.4,1.66,"Dead","Female",NA,2017-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",5,26,1660,NA,2.69349889156842,711,NA,NA,"Group3",1,7480.968119,1022.095886,218.1857007,92.0271699,2022.193116,4755.469483,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,146,3.67630067190708,4.61907309115708,7.41457288135059,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2016","captured;UF trap line",2017-05-30,"DFO1",569,NA,549376,2806546,"Live",21.8,61.9,0.34,"Dead","Female",NA,2017-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",5,30,340,NA,3.28177979025952,270,NA,NA,"Group2",1,7825.810693,1622.069357,2844.484488,2591.322442,4617.164714,5185.8763,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,150,3.08190996979504,4.12552017969055,5.82894561761021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2017","captured;UF trap line",2017-05-30,"HH5",440,NA,552799,2806549,"Live",25.8,71.7,0.56,"Dead","Male",NA,2017-05-30,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",5,30,560,NA,3.26083564037455,712,NA,NA,"Group2",1,7882.56183,1801.089948,638.6939799,853.8910938,1194.54259,5220.615385,5,5," Marshes","Marshes","Marshes","2",NA,NA,150,3.25037449192757,4.27249074760558,6.32793678372919,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2019","captured;UF trap line",2017-05-30,"TH2",435,NA,553731,2806566,"Live",26.2,72.5,0.64,"Dead","Female",NA,2017-05-30,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",5,30,640,NA,3.55857480858204,1377,NA,NA,"Group2",1,8166.074822,2733.224104,1543.741235,1778.751528,262.6880279,5618.851128,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,150,3.26575941076705,4.28358656186063,6.46146817635372,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2020","captured;UF trap line",2017-05-30,"TH1",433,NA,553958,2806570,"Live",27.9,76.4,0.72,"Dead","Male",NA,2017-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",5,30,720,NA,3.31527750323136,1378,NA,NA,"Group2",1,8249.485135,2960.256915,1768.425288,2005.022693,38.07886553,5734.514539,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,150,3.32862668882732,4.33598269617247,6.5792512120101,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2021","captured;UF trap line",2017-05-31,"TH1",433,"TH1. In trap with second tegu.",553958,2806570,"Live",19.4,55.1,0.22,"Dead","Female",NA,2017-05-31,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",5,31,220,NA,3.01312737420741,1379,NA,NA,"Group1",1,8249.485135,2960.256915,1768.425288,2005.022693,38.07886553,5734.514539,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,151,2.96527306606928,4.00914971615887,5.39362754635236,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2023","captured;UF trap line",2017-05-31,"TH2",435,NA,553731,2806566,"Live",27.4,75.1,0.56,"Dead","Male",NA,2017-05-31,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",5,31,560,NA,2.72230222765991,1381,NA,NA,"Group2",1,8166.074822,2733.224104,1543.741235,1778.751528,262.6880279,5618.851128,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,151,3.31054301339402,4.31882055877009,6.32793678372919,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
"May",2017,"TuMe2024","captured;UF trap line",2017-05-31,"TH5",441,NA,552841,2806549,"Live",24.8,68.8,0.44,"Dead","Female",NA,2017-05-31,"Disposed of at South Dade Landfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",5,31,440,NA,2.88467993689369,713,NA,NA,"Group2",1,7892.444805,1843.087898,677.6208379,895.0988772,1152.562363,5234.923973,5,5," Marshes","Marshes","Marshes","2",NA,NA,151,3.21084365317094,4.2312037449393,6.08677472691231,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-05-01,77.72,55.49,95.32,3.33,0.43,25.4,13.05,35.18,8.4582,1.0922
