"UF.Animal.ID","Status","Capture.Date","Capture.Location","Trap.Name","Capture.Notes","UTM.Easting","UTM.Northing","Specimen.Condition","Intake.SVL","Intake.TL","Intake.Weight.kg","Measurements","Intake.Sex","Age.Class","General.Notes","Euth.Date","Final.Disposition","Nec.SVL","Nec.TL","Nec.Weight.kg","Fat.Wt..g.","Malformations","Extremities","Extremities.Notes","Reproductive.Sys","Nec.Sex","Additional.Notes","Date.Diff","Analysis.Sex","SVL_Diff","Weight_Diff"
"TuMe1084","UF trap line",2015-06-10,"HH8",157,NA,551862,2806546,"Live",28.1,70.3,0.7,"Dead","Male",NA,NA,2015-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1085","UF trap line",2015-06-10,"HH50",152,NA,550969,2807325,"Live",26.8,75.4,0.56,"Dead","Female",NA,NA,2015-06-10,NA,26.3,74.4,0.54,1.884,NA,"Normal",NA,"Normal","Female","Pentax 177-0443 to 0444 of pancreas",0,"Female",0.5,0.02
"TuMe1086","UF trap line",2015-06-11,"HH6",155,NA,552577,2806532,"Live",27.5,72.6,0.54,"Dead","Female",NA,NA,2015-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1087","UF trap line",2015-06-11,"HH7",156,NA,552313,2806546,"Live",31.2,81.8,0.88,"Dead","Female",NA,NA,2015-06-11,NA,30.2,80.8,0.885,11.932,NA,"Normal",NA,"Normal","Female",NA,0,"Female",1,-0.005
"TuMe1089","UF trap line",2015-06-11,"P1",163,NA,552001,2806452,"Live",28.5,78.4,0.66,"Dead","Female",NA,NA,2015-06-11,NA,27,69.3,0.655,1.7,NA,"Abnormal","Missing right rear foot, left leg taken instead as a result","Normal","Female",NA,0,"Female",1.5,0.005
"TuMe1090","UF trap line",2015-06-11,"HH17",141,NA,551034,2803066,"Live",22.9,63.6,0.4,"Dead","Female",NA,NA,2015-06-11,NA,22,63.9,0.4,7.461,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.899999999999999,0
"TuMe1091","UF trap line",2015-06-12,"HH2",144,NA,553772,2806568,"Live",29.7,80.7,0.84,"Dead","Male",NA,NA,2015-06-12,NA,28.6,79,0.88,29.176,NA,"Normal",NA,"Normal","Male",NA,0,"Male",1.1,-0.04
"TuMe1092","UF trap line",2015-06-12,"HH5",151,NA,552797,2806551,"Live",25.3,70,0.47,"Dead","Female",NA,NA,2015-06-12,NA,25,69.7,0.48,0.661,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.300000000000001,-0.01
"TuMe1093","UF trap line",2015-06-12,"P1",163,NA,552001,2806452,"Live",25.7,72.4,0.56,"Dead","Male",NA,"Defecated in bag, lubbers visualized in contents",2015-06-12,NA,26.3,72.9,0.57,0.454,NA,"Normal",NA,"Normal","Male",NA,0,"Male",-0.600000000000001,-0.0099999999999999
"TuMe1094","UF trap line",2015-06-12,"HH8",157,NA,551862,2806546,"Live",28.4,79.5,0.64,"Dead","Female",NA,NA,2015-06-12,NA,27.8,78.5,0.65,3.187,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.599999999999998,-0.01
"TuMe1095","UF trap line",2015-06-12,"PVC9",195,NA,551615,2806528,"Live",27.8,78.7,0.69,"Dead","Female",NA,"Weight from necropsy",2015-06-12,NA,27.9,78,0.69,4.017,NA,"Normal",NA,"Normal","Female",NA,0,"Female",-0.0999999999999979,0
"TuMe1096","UF trap line",2015-06-12,"HH12",136,NA,551007,2805967,"Live",22.4,65.3,0.35,"Dead","Female",NA,NA,2015-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1098","UF trap line",2015-06-15,"JD3",161,"Trap was closed, tegu squeezed through door, but became trapped inside.",552332,2806285,"Live",23.7,66.7,0.41,"Dead","Female",NA,NA,2015-06-15,NA,24.3,66.7,0.41,5.485,NA,"Normal",NA,"Normal","Female",NA,0,"Female",-0.600000000000001,0
"TuMe1099","UF trap line",2015-06-16,"HH1",133,NA,553958,2806544,"Live",25.2,71.4,0.47,"Dead","Female",NA,NA,2015-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1100","UF trap line",2015-06-16,"Trap1",34,"Trap1",553953,2806576,"Live",22.8,63.1,0.36,"Dead","Male",NA,NA,2015-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1101","UF trap line",2015-06-16,"HF18",127,NA,551043,2801760,"Live",23,67.4,0.4,"Dead","Female",NA,"Shedding on hind legs",2015-06-16,NA,23.9,68.5,0.34,1.257,NA,"Normal",NA,"Normal","Female",NA,0,"Female",-0.899999999999999,0.06
"TuMe1102","UF trap line",2015-06-16,"HH14",138,NA,551017,2804992,"Live",19.4,54.6,0.2,"Dead","Male",NA,NA,2015-06-16,NA,19.2,53.3,0.14,0.415,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.199999999999999,0.06
"TuMe1103","UF trap line",2015-06-16,"HH6",155,NA,552577,2806532,"Live",25.3,72.4,0.52,"Dead","Male",NA,NA,2015-06-16,NA,24.7,70.2,0.485,1.533,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.600000000000001,0.035
"TuMe1106","transferred",2015-06-11,"LT11",49,NA,547833,2804550,"Live",27.5,79.5,0.648,"Alive","Male",NA,NA,2015-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Male",NA,NA
"TuMe1110","transferred",2015-06-07,"LT13",51,NA,547838,2804170,"Live",28,80.5,0.804,"Alive","Male",NA,NA,2015-06-10,"Sent to Sterling Nesbitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Male",NA,NA
"TuMe1115","transferred",2015-06-15,"19600 SW 334 St, Homestead, FL",NA,NA,549423,2815568,"Live",43,94.5,3.4,"Dead","Male",NA,NA,2015-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Male",NA,NA
"TuMe1116","UF trap line",2015-06-17,"HH7",156,NA,552313,2806546,"Live",26,72,0.47,"Dead","Male",NA,NA,2015-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1117","UF trap line",2015-06-17,"P2",164,NA,551992,2806291,"Live",28.4,77.7,0.65,"Dead","Female",NA,NA,2015-06-17,NA,27.9,78.1,0.74,4.096,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.5,-0.09
"TuMe1118","UF trap line",2015-06-17,"HH8",157,NA,551862,2806546,"Live",24.3,65.9,0.375,"Dead","Female",NA,NA,2015-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1119","UF trap line",2015-06-17,"HH51",154,NA,550970,2806999,"Live",29.1,79.5,0.8,"Dead","Male",NA,NA,2015-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1120","UF trap line",2015-06-17,"HH17",141,NA,551034,2803066,"Live",19.8,56.2,0.22,"Dead","Female",NA,NA,2015-06-17,NA,20.1,56.7,0.23,0.621,NA,"Normal",NA,"Normal","Female",NA,0,"Female",-0.300000000000001,-0.01
"TuMe1122","UF trap line",2015-06-18,"Trap1",34,NA,553935,2806578,"Live",25.6,68.5,0.42,"Dead","Female",NA,NA,2015-06-18,NA,24.3,67.4,0.44,0.539,NA,"Normal","~15 damaged scales on ventral side of tail ~3cm from vent.
Scar and damaged scales on dorsal side of tail ~20cm from vent.","Normal","Female",NA,0,"Female",1.3,-0.02
"TuMe1123","UF trap line",2015-06-18,"HH4",150,NA,553159,2806558,"Live",27.9,75,0.49,"Dead","Female",NA,NA,2015-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
