OID_,UF_Animal_ID,Status,Capture_Date,Capture_Location,Trap_Name,Capture_Notes,UTM_Easting,UTM_Northing,Specimen_Condition,Intake_SVL,Intake_TL,Intake_Weight_kg,Measurements,Intake_Sex,Age_Class,General_Notes,Euth_Date,Final_Disposition,Nec_SVL,Nec_TL,Nec_Weight_kg,fat_g,Malformations,Extremities,Extremities_Notes,Reproductive_Sys,Nec_Sex,GI_Wt,Additional_Notes,Date_Diff,Analysis_Sex,SVL_Diff,Weight_Diff,mass_g,fulton,year,month_numb,day,month,percfat,sizeclass,NEAR_FID,C110111_DIST,C110424_DIST,JDC_DIST,Pond_DIST,UP_DIST,WCS_DIST,Hab1,Hab2
80,TuMe1090,UF trap line,6/11/2015,HH17,141,NA,551034,2803066,Live,22.9,63.6,0.4,Dead,Female,NA,NA,6/11/2015,NA,22,63.9,0.4,7.461,NA,Normal,NA,Normal,Female,23.26,NA,0,Female,0.9,0,400,3.330838258,2015,6,11,Jun,1.86525,Group3,1,4183.585663,3465.187008,3443.061428,3441.479333,4597.721392,1432.008729,5,5
1205,TuMe1091,UF trap line,6/12/2015,HH2,144,NA,553772,2806568,Live,29.7,80.7,0.84,Dead,Male,NA,NA,6/12/2015,NA,28.6,79,0.88,29.176,NA,Normal,NA,Normal,Male,22.112,NA,0,Male,1.1,0.04,840,3.206342696,2015,6,12,Jun,3.473333333,Group4,1,8181.936751,2774.246745,1584.487299,1819.737344,221.6528818,5640.358588,4,4
461,TuMe1092,UF trap line,6/12/2015,HH5,151,NA,552797,2806551,Live,25.3,70,0.47,Dead,Female,NA,NA,6/12/2015,NA,25,69.7,0.48,0.661,NA,Normal,NA,Normal,Female,28.083,NA,0,Female,0.3,0.01,470,2.902259854,2015,6,12,Jun,0.140638298,Group3,1,7884.041667,1799.111169,637.6284184,852.3297484,1196.48318,5221.824681,5,5
462,TuMe1093,UF trap line,6/12/2015,P1,163,NA,552001,2806452,Live,25.7,72.4,0.56,Dead,Male,NA,"Defecated in bag, lubbers visualized in contents",6/12/2015,NA,26.3,72.9,0.57,0.454,NA,Normal,NA,Normal,Male,44.818,NA,0,Male,0.6,0.01,560,3.299048172,2015,6,12,Jun,0.081071429,Group3,1,7639.707455,1006.106356,257.2566812,81.88406438,1996.435073,4913.101668,4,4
463,TuMe1094,UF trap line,6/12/2015,HH8,157,NA,551862,2806546,Live,28.4,79.5,0.64,Dead,Female,NA,NA,6/12/2015,NA,27.8,78.5,0.65,3.187,NA,Normal,NA,Normal,Female,18.916,NA,0,Female,0.6,0.01,640,2.793990685,2015,6,12,Jun,0.49796875,Group4,1,7715.437317,864.1301985,425.0176467,193.7937047,2131.356845,4980.469155,4,4
464,TuMe1095,UF trap line,6/12/2015,PVC9,195,NA,551615,2806528,Live,27.8,78.7,0.69,Dead,Female,NA,Weight from necropsy,6/12/2015,NA,27.9,78,0.69,4.017,NA,Normal,NA,Normal,Female,38.329,NA,0,Female,0.1,0,690,3.211550112,2015,6,12,Jun,0.582173913,Group4,1,7672.667463,617.0072933,636.4754512,377.2439529,2378.683039,4927.779622,4,4
185,TuMe1096,UF trap line,6/12/2015,HH12,136,NA,551007,2805967,Live,22.4,65.3,0.35,Dead,Female,NA,NA,6/12/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,350,3.114038584,2015,6,12,Jun,NA,Group2,1,7084.130504,564.0718039,1248.772998,1040.477775,3049.281883,4333.118161,4,4
81,TuMe1097,UF trap line,6/12/2015,HF21,130,NA,551008,2804614,Live,19,53.5,0.21,Dead,Female,NA,Missing front left foot,6/12/2015,NA,18.6,52.2,0.245,3.248,NA,Normal,NA,Normal,Female,25.644,NA,0,Female,0.4,0.035,210,3.061670797,2015,6,12,Jun,1.546666667,Group2,1,5731.168903,1917.026082,2072.232612,2007.205022,3577.01915,2980.161237,5,6
465,TuMe1098,UF trap line,6/15/2015,JD3,161,"Trap was closed, tegu squeezed through door, but became trapped inside.",552332,2806285,Live,23.7,66.7,0.41,Dead,Female,NA,NA,6/15/2015,NA,24.3,66.7,0.41,5.485,NA,Normal,NA,Normal,Female,29.14,NA,0,Female,0.6,0,410,3.079915622,2015,6,15,Jun,1.337804878,Group3,1,7527.351991,1356.492536,123.1787319,382.0013089,1687.874699,4827.385421,12,15
1206,TuMe1099,UF trap line,6/16/2015,HH1,133,NA,553958,2806544,Live,25.2,71.4,0.47,Dead,Female,NA,NA,6/16/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,NA,NA,470,2.936947854,2015,6,16,Jun,NA,Group3,1,8225.263339,2960.028547,1764.672208,2002.726142,53.90732789,5712.150296,4,4
